127.0.0.1 - - [10/Aug/2026 13:21:28] "GET /static_js/forecast.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:21:28] "GET /static_js/app.js?v=8 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:21:29] "GET /assets/fonts/Qimen-Subset.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:21:29] "GET /assets/images/bg-desktop.png HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:21:29] "GET /assets/fonts/Qimen-Subset.woff HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:21:30] "GET /assets/fonts/AaLieYanLiShu-2.ttf HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:21:30] code 404, message File not found
127.0.0.1 - - [10/Aug/2026 13:21:30] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [10/Aug/2026 13:21:41] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:21:41] "GET /theme-neu.css?v=20260819 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:21:41] "GET /static_js/forecast.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:21:41] "GET /static_js/qimen.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:21:41] "GET /static_js/app.js?v=8 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:21:42] "GET /assets/fonts/Qimen-Subset.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:21:42] "GET /assets/images/bg-desktop.png HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:21:42] "GET /assets/fonts/Qimen-Subset.woff HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:21:42] "GET /assets/fonts/AaLieYanLiShu-2.ttf HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:21:51] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:21:51] "GET /theme-neu.css?v=20260819 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:21:51] "GET /static_js/app.js?v=8 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:21:51] "GET /static_js/forecast.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:21:51] "GET /static_js/qimen.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:21:52] "GET /assets/fonts/Qimen-Subset.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:21:52] "GET /assets/fonts/Qimen-Subset.woff HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:21:52] "GET /assets/fonts/AaLieYanLiShu-2.ttf HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:21:53] "GET /assets/images/bg-desktop.png HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:21:53] code 404, message File not found
127.0.0.1 - - [10/Aug/2026 13:21:53] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [10/Aug/2026 13:23:27] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:23:27] "GET /theme-neu.css?v=20260819 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:23:27] "GET /assets/fonts/Qimen-Subset.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:23:27] "GET /static_js/forecast.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:23:27] "GET /static_js/qimen.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:23:27] "GET /assets/fonts/Qimen-Subset.woff HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:23:27] "GET /static_js/app.js?v=9 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:23:27] "GET /assets/fonts/AaLieYanLiShu-2.ttf HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:23:27] "GET /assets/images/bg-desktop.png HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:24:52] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:24:52] "GET /theme-neu.css?v=20260819 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:24:52] "GET /static_js/qimen.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:24:52] "GET /static_js/app.js?v=9 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:24:52] "GET /static_js/forecast.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:24:53] "GET /assets/fonts/Qimen-Subset.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:24:53] "GET /assets/fonts/Qimen-Subset.woff HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:24:53] "GET /assets/fonts/AaLieYanLiShu-2.ttf HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:24:53] "GET /assets/images/bg-desktop.png HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:28:24] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:28:24] "GET /static_js/qimen.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:28:25] "GET /static_js/forecast.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:28:25] "GET /static_js/app.js?v=9 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:28:36] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:28:36] "GET /static_js/qimen.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:28:36] "GET /static_js/forecast.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:28:36] "GET /static_js/app.js?v=9 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:28:57] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:28:57] "GET /static_js/qimen.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:28:57] "GET /static_js/forecast.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:28:57] "GET /static_js/app.js?v=9 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:34:18] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:34:18] "GET /theme-neu.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:34:18] "GET /static_js/qimen.js?v=3 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:34:18] "GET /static_js/forecast.js?v=3 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:34:18] "GET /static_js/app.js?v=5 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:38:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:38:50] "GET /theme-neu.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:38:50] "GET /static_js/qimen.js?v=3 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:38:51] "GET /static_js/forecast.js?v=3 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:38:51] "GET /static_js/app.js?v=5 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:39:55] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:39:55] "GET /theme-neu.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:39:55] "GET /static_js/qimen.js?v=3 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:39:55] "GET /static_js/forecast.js?v=3 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:39:55] "GET /static_js/app.js?v=5 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:40:18] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:40:18] "GET /theme-neu.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:40:19] "GET /static_js/qimen.js?v=3 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:40:19] "GET /static_js/forecast.js?v=3 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:40:19] "GET /static_js/app.js?v=5 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:42:02] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:42:02] "GET /theme-neu.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:42:02] "GET /static_js/qimen.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:42:02] "GET /static_js/app.js?v=10 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:42:02] "GET /static_js/forecast.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:42:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:42:10] "GET /theme-neu.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:42:11] "GET /static_js/qimen.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:42:11] "GET /static_js/forecast.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:42:11] "GET /static_js/app.js?v=10 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:42:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:42:50] "GET /theme-neu.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:42:50] "GET /static_js/qimen.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:42:50] "GET /static_js/forecast.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:42:50] "GET /static_js/app.js?v=10 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:43:22] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:43:22] "GET /theme-neu.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:43:23] "GET /static_js/qimen.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:43:23] "GET /static_js/forecast.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:43:23] "GET /static_js/app.js?v=10 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:43:54] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:43:54] "GET /theme-neu.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:43:54] "GET /static_js/qimen.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:43:54] "GET /static_js/app.js?v=10 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:43:54] "GET /static_js/forecast.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:44:05] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:44:05] "GET /theme-neu.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:44:06] "GET /static_js/qimen.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:44:06] "GET /static_js/forecast.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:44:06] "GET /static_js/app.js?v=10 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:44:08] code 404, message File not found
127.0.0.1 - - [10/Aug/2026 13:44:08] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [10/Aug/2026 13:44:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:44:10] "GET /theme-neu.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:44:10] "GET /static_js/qimen.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:44:10] "GET /static_js/app.js?v=10 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:44:10] "GET /static_js/forecast.js?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:44:12] code 404, message File not found
127.0.0.1 - - [10/Aug/2026 13:44:12] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [10/Aug/2026 13:45:02] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 13:45:02] "GET / HTTP/1.1" 200 -
----------------------------------------
Exception occurred during processing of request from ('127.0.0.1', 58896)
Traceback (most recent call last):
  File "C:\Users\jinb343\AppData\Local\Programs\Python\Python311\Lib\socketserver.py", line 317, in _handle_request_noblock
    self.process_request(request, client_address)
  File "C:\Users\jinb343\AppData\Local\Programs\Python\Python311\Lib\socketserver.py", line 348, in process_request
    self.finish_request(request, client_address)
  File "C:\Users\jinb343\AppData\Local\Programs\Python\Python311\Lib\socketserver.py", line 361, in finish_request
    self.RequestHandlerClass(request, client_address, self)
